Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
1:Del:C:0	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:C:1	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:C:2	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:C:3	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:C:4	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:C:5	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:0	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:1	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:2	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:3	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:4	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Del:T:5	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Ins:C:0	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Ins:C:1	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Ins:C:2	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Ins:C:3	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
1:Ins:C:4	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928	0.0120481928
